0m 17s (- -1m 42s) 1000 2.8476 0
0m 36s (- -1m 23s) 2000 2.7635 0
0m 55s (- -1m 4s) 3000 2.3606 0
1m 16s (- -2m 43s) 4000 2.2564 0
1m 36s (- -2m 23s) 5000 1.9955 0
1m 56s (- -2m 3s) 6000 1.9438 0
2m 16s (- -3m 43s) 7000 1.8275 0
2m 37s (- -3m 22s) 8000 1.6953 0
2m 58s (- -3m 1s) 9000 1.5690 0
3m 20s (- -4m 39s) 10000 1.5394 0
3m 40s (- -4m 19s) 11000 1.4749 0
4m 1s (- -5m 58s) 12000 1.3835 0
0.0046,2.2705
(0.10880458124552612, 0.0)
1
4m 27s (- -5m 32s) 1000 1.5295 1
4m 48s (- -5m 11s) 2000 1.3457 1
5m 8s (- -6m 51s) 3000 1.1750 1
5m 29s (- -6m 30s) 4000 1.2420 1
5m 50s (- -6m 9s) 5000 1.1265 1
6m 11s (- -7m 48s) 6000 1.1746 1
6m 32s (- -7m 27s) 7000 1.1374 1
6m 53s (- -7m 6s) 8000 1.1065 1
7m 14s (- -8m 45s) 9000 1.0392 1
7m 34s (- -8m 25s) 10000 1.0838 1
7m 55s (- -8m 4s) 11000 1.0257 1
8m 16s (- -9m 43s) 12000 0.9993 1
0.0034,1.6693
(0.14387974230493916, 0.0)
2
8m 42s (- -9m 17s) 1000 1.1292 2
9m 3s (- -10m 56s) 2000 0.9864 2
9m 24s (- -10m 35s) 3000 0.8898 2
9m 45s (- -10m 14s) 4000 0.9834 2
10m 5s (- -11m 54s) 5000 0.8695 2
10m 27s (- -11m 32s) 6000 0.9413 2
10m 47s (- -11m 12s) 7000 0.9221 2
11m 8s (- -12m 51s) 8000 0.8977 2
11m 30s (- -12m 30s) 9000 0.8559 2
11m 50s (- -12m 9s) 10000 0.9138 2
12m 11s (- -13m 49s) 11000 0.8548 2
12m 32s (- -13m 28s) 12000 0.8353 2
0.0030,1.6015
(0.16678596993557623, 0.01179245283018868)
3
12m 59s (- -13m 1s) 1000 0.9765 3
13m 19s (- -14m 40s) 2000 0.8594 3
13m 40s (- -14m 19s) 3000 0.7597 3
14m 1s (- -15m 59s) 4000 0.8251 3
14m 22s (- -15m 38s) 5000 0.7745 3
14m 43s (- -15m 16s) 6000 0.8183 3
15m 3s (- -16m 56s) 7000 0.8194 3
15m 24s (- -16m 35s) 8000 0.7744 3
15m 45s (- -16m 14s) 9000 0.7441 3
16m 7s (- -17m 52s) 10000 0.8061 3
16m 30s (- -17m 29s) 11000 0.7688 3
16m 51s (- -17m 8s) 12000 0.7548 3
0.0029,1.6782
(0.19040801717967074, 0.009433962264150943)
4
17m 18s (- -18m 42s) 1000 0.8591 4
17m 39s (- -18m 20s) 2000 0.7661 4
18m 0s (- -19m 59s) 3000 0.6638 4
18m 21s (- -19m 38s) 4000 0.7669 4
18m 42s (- -19m 17s) 5000 0.6860 4
19m 4s (- -20m 56s) 6000 0.7194 4
19m 24s (- -20m 35s) 7000 0.7360 4
19m 45s (- -20m 14s) 8000 0.7158 4
20m 7s (- -21m 53s) 9000 0.6911 4
20m 27s (- -21m 32s) 10000 0.7326 4
20m 48s (- -21m 11s) 11000 0.6836 4
21m 9s (- -22m 50s) 12000 0.6654 4
0.0026,1.1997
(0.19756621331424482, 0.01179245283018868)
5
21m 36s (- -22m 24s) 1000 0.7821 5
21m 58s (- -22m 2s) 2000 0.6856 5
22m 18s (- -23m 41s) 3000 0.6137 5
22m 39s (- -23m 20s) 4000 0.7104 5
23m 0s (- -24m 59s) 5000 0.6384 5
23m 21s (- -24m 38s) 6000 0.6655 5
23m 41s (- -24m 18s) 7000 0.6719 5
24m 3s (- -25m 57s) 8000 0.6626 5
24m 24s (- -25m 35s) 9000 0.6648 5
24m 44s (- -25m 15s) 10000 0.6886 5
25m 5s (- -26m 54s) 11000 0.6442 5
25m 26s (- -26m 33s) 12000 0.6157 5
0.0024,1.4496
(0.2125984251968504, 0.01179245283018868)
6
25m 53s (- -26m 8s) 1000 0.7002 6
26m 14s (- -27m 46s) 2000 0.6206 6
26m 35s (- -27m 25s) 3000 0.5937 6
26m 55s (- -27m 4s) 4000 0.6749 6
27m 16s (- -28m 43s) 5000 0.6095 6
27m 37s (- -28m 22s) 6000 0.6403 6
27m 59s (- -28m 1s) 7000 0.6375 6
28m 20s (- -29m 39s) 8000 0.6201 6
28m 41s (- -29m 18s) 9000 0.6202 6
29m 1s (- -30m 58s) 10000 0.6482 6
29m 22s (- -30m 37s) 11000 0.6056 6
29m 43s (- -30m 16s) 12000 0.5799 6
0.0023,0.9467
(0.20830350751610593, 0.01179245283018868)
7
30m 10s (- -31m 51s) 1000 0.6575 7
30m 31s (- -31m 29s) 2000 0.5842 7
30m 51s (- -31m 8s) 3000 0.5465 7
31m 12s (- -32m 47s) 4000 0.6234 7
31m 33s (- -32m 26s) 5000 0.5558 7
31m 55s (- -32m 5s) 6000 0.5983 7
32m 15s (- -33m 44s) 7000 0.5896 7
32m 36s (- -33m 23s) 8000 0.6037 7
32m 58s (- -33m 1s) 9000 0.5813 7
33m 18s (- -34m 41s) 10000 0.5980 7
33m 39s (- -34m 20s) 11000 0.5733 7
34m 0s (- -35m 59s) 12000 0.5533 7
0.0019,0.7806
(0.22763063707945597, 0.01179245283018868)
8
34m 27s (- -35m 34s) 1000 0.6191 8
34m 48s (- -35m 12s) 2000 0.5520 8
35m 9s (- -36m 51s) 3000 0.5074 8
35m 30s (- -36m 30s) 4000 0.5846 8
35m 51s (- -36m 9s) 5000 0.5112 8
36m 12s (- -37m 47s) 6000 0.5338 8
36m 33s (- -37m 27s) 7000 0.5508 8
36m 54s (- -37m 5s) 8000 0.5419 8
37m 16s (- -38m 43s) 9000 0.5273 8
37m 36s (- -38m 23s) 10000 0.5645 8
37m 57s (- -38m 2s) 11000 0.5281 8
38m 18s (- -39m 41s) 12000 0.5045 8
0.0017,1.0030
(0.23335719398711524, 0.02358490566037736)
9
38m 45s (- -39m 16s) 1000 0.5953 9
39m 7s (- -40m 54s) 2000 0.5165 9
39m 27s (- -40m 33s) 3000 0.4619 9
39m 48s (- -40m 12s) 4000 0.5633 9
40m 9s (- -41m 51s) 5000 0.5035 9
40m 30s (- -41m 30s) 6000 0.5135 9
40m 50s (- -41m 9s) 7000 0.5135 9
41m 12s (- -42m 48s) 8000 0.4925 9
41m 33s (- -42m 26s) 9000 0.5036 9
41m 54s (- -42m 6s) 10000 0.5279 9
42m 15s (- -43m 45s) 11000 0.4942 9
42m 35s (- -43m 24s) 12000 0.4865 9
0.0017,0.9398
(0.23693629205440228, 0.014150943396226415)
10
43m 2s (- -44m 59s) 1000 0.5422 10
43m 24s (- -44m 36s) 2000 0.4892 10
43m 44s (- -44m 16s) 3000 0.4407 10
44m 5s (- -45m 55s) 4000 0.5180 10
44m 26s (- -45m 33s) 5000 0.4622 10
44m 48s (- -45m 12s) 6000 0.4921 10
45m 8s (- -46m 51s) 7000 0.5003 10
45m 29s (- -46m 30s) 8000 0.4559 10
45m 51s (- -46m 9s) 9000 0.4683 10
46m 11s (- -47m 48s) 10000 0.4872 10
46m 32s (- -47m 27s) 11000 0.4650 10
46m 53s (- -47m 6s) 12000 0.4590 10
0.0013,0.7252
(0.2612741589119542, 0.018867924528301886)
11
47m 21s (- -48m 41s) 1000 0.4989 11
47m 42s (- -48m 18s) 2000 0.4560 11
48m 3s (- -49m 57s) 3000 0.4270 11
48m 24s (- -49m 36s) 4000 0.4937 11
48m 45s (- -49m 15s) 5000 0.4373 11
49m 6s (- -50m 54s) 6000 0.4592 11
49m 26s (- -50m 33s) 7000 0.4825 11
49m 47s (- -50m 12s) 8000 0.4561 11
50m 9s (- -51m 51s) 9000 0.4649 11
50m 29s (- -51m 30s) 10000 0.4598 11
50m 50s (- -51m 9s) 11000 0.4183 11
51m 11s (- -52m 48s) 12000 0.4172 11
0.0018,0.9690
(0.2634216177523264, 0.014150943396226415)
12
51m 38s (- -52m 24s) 1000 0.4660 12
51m 59s (- -52m 2s) 2000 0.4153 12
52m 20s (- -53m 41s) 3000 0.3748 12
52m 40s (- -53m 20s) 4000 0.4898 12
53m 1s (- -54m 58s) 5000 0.4195 12
53m 23s (- -54m 37s) 6000 0.4311 12
53m 43s (- -54m 17s) 7000 0.4534 12
54m 4s (- -55m 55s) 8000 0.4338 12
54m 26s (- -55m 34s) 9000 0.4398 12
54m 46s (- -55m 13s) 10000 0.4454 12
55m 7s (- -56m 53s) 11000 0.3951 12
55m 28s (- -56m 31s) 12000 0.4030 12
0.0008,0.3502
(0.2691481746599857, 0.01650943396226415)
13
55m 55s (- -56m 7s) 1000 0.4592 13
56m 16s (- -57m 45s) 2000 0.4381 13
56m 37s (- -57m 23s) 3000 0.3723 13
56m 57s (- -57m 2s) 4000 0.4781 13
57m 18s (- -58m 42s) 5000 0.4194 13
57m 39s (- -58m 20s) 6000 0.4455 13
58m 0s (- -59m 59s) 7000 0.4238 13
58m 21s (- -59m 38s) 8000 0.4272 13
58m 43s (- -59m 17s) 9000 0.4141 13
59m 3s (- -60m 56s) 10000 0.4283 13
59m 24s (- -60m 35s) 11000 0.3945 13
59m 45s (- -60m 15s) 12000 0.3801 13
0.0007,0.3443
(0.27415891195418757, 0.02122641509433962)
14
60m 11s (- -61m 51s) 1000 0.4387 14
60m 33s (- -61m 28s) 2000 0.4025 14
60m 54s (- -61m 7s) 3000 0.3651 14
61m 15s (- -62m 45s) 4000 0.4319 14
61m 36s (- -62m 24s) 5000 0.4150 14
61m 57s (- -62m 3s) 6000 0.4339 14
62m 17s (- -63m 43s) 7000 0.4102 14
62m 39s (- -63m 21s) 8000 0.3968 14
63m 0s (- -64m 59s) 9000 0.3894 14
63m 20s (- -64m 39s) 10000 0.4156 14
63m 42s (- -64m 18s) 11000 0.3821 14
64m 3s (- -65m 57s) 12000 0.3643 14
0.0006,0.3736
(0.2727272727272727, 0.02358490566037736)
15
64m 30s (- -65m 33s) 1000 0.4357 15
64m 51s (- -65m 10s) 2000 0.3795 15
